plant,scenario,description,이용률_현재(%),이용률_최적(%),감발량_MWh일,annual_benefit_억원,annual_replacement_cost_억원,BC_ratio,verdict
삼천포,A_summer_stagnation,여름 고온·고습·저풍속 (대기정체일),70.0,50.0,8122.0,22.31,1474.05,0.02,환경 편익 우선 고려
삼천포,B_winter_cold,겨울 저온·건조·강풍 (난방수요 피크),70.0,50.0,8122.0,21.83,1474.05,0.01,환경 편익 우선 고려
삼천포,C_solar_max,"태양광 최대 발전일 (맑은 여름날, 석탄 감발 여력)",70.0,50.0,8122.0,25.02,1474.05,0.02,환경 편익 우선 고려
삼천포,D_wind_max,"풍력 최대 발전일 (저기압·전선 통과, 강풍·흐림)",70.0,50.0,8122.0,24.85,1474.05,0.02,환경 편익 우선 고려
삼천포,E_spring_dust,봄 황사 잔류·약풍 (초미세먼지 주의보 지속),70.0,50.0,8122.0,22.1,1474.05,0.01,환경 편익 우선 고려
삼천포,F_winter_stagnation,"겨울 대기정체 (계절관리제 시행기간, 12~3월)",70.0,50.0,8122.0,21.54,1474.05,0.01,환경 편익 우선 고려
삼천포,G_renewable_peak_spring,"봄·가을 이행기 신재생 우세 (태양광+풍력 합계 최대, 석탄 감발 압력)",70.0,50.0,8122.0,28.36,1474.05,0.02,환경 편익 우선 고려
삼천포,H_summer_peak,폭염·냉방수요 피크 (전력 계통 최대 급전 요구),70.0,50.0,8122.0,23.92,1474.05,0.02,환경 편익 우선 고려
영흥,A_summer_stagnation,여름 고온·고습·저풍속 (대기정체일),82.8,65.0,16330.0,25.2,2634.24,0.01,환경 편익 우선 고려
영흥,B_winter_cold,겨울 저온·건조·강풍 (난방수요 피크),82.8,65.0,16330.0,21.91,2634.24,0.01,환경 편익 우선 고려
영흥,C_solar_max,"태양광 최대 발전일 (맑은 여름날, 석탄 감발 여력)",82.8,65.0,16330.0,27.07,2634.24,0.01,환경 편익 우선 고려
영흥,D_wind_max,"풍력 최대 발전일 (저기압·전선 통과, 강풍·흐림)",82.8,65.0,16330.0,23.5,2634.24,0.01,환경 편익 우선 고려
영흥,E_spring_dust,봄 황사 잔류·약풍 (초미세먼지 주의보 지속),82.8,65.0,16330.0,24.69,2634.24,0.01,환경 편익 우선 고려
영흥,F_winter_stagnation,"겨울 대기정체 (계절관리제 시행기간, 12~3월)",82.8,65.0,16330.0,22.04,2634.24,0.01,환경 편익 우선 고려
영흥,G_renewable_peak_spring,"봄·가을 이행기 신재생 우세 (태양광+풍력 합계 최대, 석탄 감발 압력)",82.8,65.0,16330.0,26.54,2634.24,0.01,환경 편익 우선 고려
영흥,H_summer_peak,폭염·냉방수요 피크 (전력 계통 최대 급전 요구),82.8,65.0,16330.0,28.2,2634.24,0.01,환경 편익 우선 고려
영동,A_summer_stagnation,여름 고온·고습·저풍속 (대기정체일),68.8,50.0,1317.0,5.52,203.71,0.03,환경 편익 우선 고려
영동,B_winter_cold,겨울 저온·건조·강풍 (난방수요 피크),68.8,50.0,1317.0,6.3,203.71,0.03,환경 편익 우선 고려
영동,C_solar_max,"태양광 최대 발전일 (맑은 여름날, 석탄 감발 여력)",68.8,50.0,1317.0,5.37,203.71,0.03,환경 편익 우선 고려
영동,D_wind_max,"풍력 최대 발전일 (저기압·전선 통과, 강풍·흐림)",68.8,50.0,1317.0,4.51,203.71,0.02,환경 편익 우선 고려
영동,E_spring_dust,봄 황사 잔류·약풍 (초미세먼지 주의보 지속),68.8,50.0,1317.0,6.24,203.71,0.03,환경 편익 우선 고려
영동,F_winter_stagnation,"겨울 대기정체 (계절관리제 시행기간, 12~3월)",68.8,50.0,1317.0,5.75,203.71,0.03,환경 편익 우선 고려
영동,G_renewable_peak_spring,"봄·가을 이행기 신재생 우세 (태양광+풍력 합계 최대, 석탄 감발 압력)",68.8,50.0,1317.0,5.49,203.71,0.03,환경 편익 우선 고려
영동,H_summer_peak,폭염·냉방수요 피크 (전력 계통 최대 급전 요구),68.8,50.0,1317.0,5.54,203.71,0.03,환경 편익 우선 고려
여수,A_summer_stagnation,여름 고온·고습·저풍속 (대기정체일),65.6,45.0,2704.0,3.05,477.54,0.01,환경 편익 우선 고려
여수,B_winter_cold,겨울 저온·건조·강풍 (난방수요 피크),65.6,45.0,2704.0,1.84,477.54,0.0,환경 편익 우선 고려
여수,C_solar_max,"태양광 최대 발전일 (맑은 여름날, 석탄 감발 여력)",65.6,45.0,2704.0,3.09,477.54,0.01,환경 편익 우선 고려
여수,D_wind_max,"풍력 최대 발전일 (저기압·전선 통과, 강풍·흐림)",65.6,45.0,2704.0,2.13,477.54,0.0,환경 편익 우선 고려
여수,E_spring_dust,봄 황사 잔류·약풍 (초미세먼지 주의보 지속),65.6,45.0,2704.0,3.12,477.54,0.01,환경 편익 우선 고려
